config,descricao,cagr,sharpe_excedente_cdi,sortino,calmar,max_drawdown,exposicao_media,custo_acumulado
A0_baseline,"sem sentimento, sem risk-off",27.25%,0.75,1.23,3.14,-8.67%,100.0%,n/a
A1_sentimento_bruto,sentimento sem EMA,25.68%,0.67,1.02,2.77,-9.28%,100.0%,n/a
A2_sentimento_ema,sentimento com EMA,27.43%,0.76,1.25,3.09,-8.89%,100.0%,n/a
A3_so_circuit_breaker,só risk-off,30.05%,1.01,1.75,4.00,-7.51%,83.3%,n/a
A4_completo,sentimento + risk-off,30.08%,1.02,1.76,4.07,-7.40%,83.3%,n/a
A5_sem_relevancia,sem gate de relevância,29.91%,1.01,1.75,4.03,-7.42%,83.3%,n/a
A6_com_relevancia,com gate de relevância,30.08%,1.02,1.76,4.07,-7.40%,83.3%,n/a
A7_tilt_multiplicativo,tilt multiplicativo,29.93%,1.01,1.73,3.96,-7.55%,83.3%,n/a
A8_alpha_aditivo,tilt aditivo,30.08%,1.02,1.76,4.07,-7.40%,83.3%,n/a
A9_sem_custos,sem custo de transação,33.47%,1.21,2.10,4.84,-6.92%,83.3%,n/a
A10_com_custos,com custo (10 bps),30.08%,1.02,1.76,4.07,-7.40%,83.3%,n/a
A11_cov_amostral,covariância amostral,30.08%,1.02,1.76,4.07,-7.40%,83.3%,n/a
A12_cov_ledoit_wolf,covariância Ledoit-Wolf,30.08%,1.02,1.76,4.08,-7.38%,83.3%,n/a
