,ISUS11,GOVE11,REVE11,BOVA11
2023-01-02,0.062498122453689575,-0.08347724874814351,0.0,0.0
2023-01-03,0.027521069601766892,-0.0388501478367161,-0.24303069432085314,0.0
2023-01-04,-0.08059961942270108,-0.09321090900848497,-0.36357686260901245,0.0
2023-01-05,-0.05608756686398885,-0.09887027736385444,-0.2530054327531822,0.0
2023-01-06,-0.0415665589907202,-0.07327287394084059,-0.18750261124734266,0.0
2023-01-08,-0.030982384368872216,-0.054615258019165426,-0.13975845277761204,0.0
2023-01-09,-0.023970983791774446,-0.0713404131471836,-0.1081307224908578,-0.025911211441759733
2023-01-10,-0.019025289971583193,-0.08603131094981388,-0.08582118982247566,-0.02056520981686381
2023-01-11,-0.015380192551541291,-0.05662407757086705,-0.06937851809058193,-0.016625075744897667
2023-01-12,-0.10866439820359565,-0.06730740201340588,-0.05686383160359247,-0.03452352932857735
2023-01-13,-0.09001318512049669,-0.05575472498417536,-0.12513167803718014,-0.08143806501534465
2023-01-15,-0.07339142148426968,-0.04545910152579851,-0.10202496124947638,-0.06639977628170321
2023-01-16,-0.04676806859653048,-0.05625280374650949,-0.084170834795358,-0.07352891004242464
2023-01-17,-0.03894030778190762,-0.06789309182471599,-0.07008282171042003,-0.061222078949238985
2023-01-18,-0.03266085668048668,-0.05694476155918925,-0.05878137914235039,-0.05134950543897781
2023-01-19,-0.07378772607690481,-0.048045032354971956,-0.04959461038095015,-0.04332424234779117
2023-01-20,-0.06255706376696242,-0.05485893042525705,-0.04204619615009142,-0.036730192611998606
2023-01-22,-0.05209476087373067,-0.04568409529159656,-0.03501421585655962,-0.030587282806241074
2023-01-23,-0.04366549986119862,-0.03832194789471803,-0.029371555835019672,-0.025658038108448456
2023-01-24,-0.04265800227871448,-0.03233601346123704,-0.024783683425173123,-0.02165022164173648
2023-01-25,-0.03616837980201773,-0.02741668980435958,-0.02101330646376547,-0.018356542672110017
2023-01-26,-0.030788068933571864,-0.050902589464789746,-0.01788742353044497,-0.015625872772422278
2023-01-27,-0.026294872695633485,-0.043473889601281256,-0.01527694138923581,-0.013345440280633449
2023-01-30,-0.021531943142427963,-0.08743812338451751,0.022921120726323015,-0.010928110003019145
2023-01-31,0.12091007958387934,-0.052111829368668865,0.0189733411172834,-0.009045925865935653
