,ISUS11,GOVE11,REVE11,BOVA11
2023-01-02,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0
2023-01-10,0.0,-0.20632001853375545,0.0,0.0
2023-01-11,0.0,-0.16679070947283253,0.0,0.0
2023-01-12,0.0,-0.13670454598243081,0.0,0.0
2023-01-13,0.0,-0.12697174860460753,0.0,-0.04119372318757878
2023-01-15,0.0,-0.10352524583994034,0.0,-0.03358692281490555
2023-01-16,0.0,-0.08540857313765618,0.0,-0.027709290911907745
2023-01-17,0.0,-0.07111339477980129,0.0,-0.023071474809805384
2023-01-18,0.0,-0.0596457636640739,0.0,-0.019351006067821017
2023-01-19,0.0,-0.05032390278952713,0.0,-0.016326694276581604
2023-01-20,0.0,-0.19486679791111952,0.0,-0.01384173370377778
2023-01-22,0.0,-0.16227646612740465,0.0,-0.011526784729896142
2023-01-23,0.0,-0.13612506146350883,0.0,-0.00966920415066129
2023-01-24,0.0,-0.1148621628521769,0.0,-0.008158862812355302
2023-01-25,0.0,-0.09738801887100326,0.0,-0.006917643424128905
2023-01-26,0.0,-0.08290083920588487,0.0,-0.0058885934002514875
2023-01-27,0.0,-0.07080232988899662,0.0,-0.005029214860796946
2023-01-30,0.0,-0.22099929543949728,0.0,-0.004118246537535661
2023-01-31,-0.027557323439291806,-0.18293586378773583,0.0,-0.003408947463550575
2023-02-01,-0.023005768446536304,-0.15272093213766452,0.0,-0.0028459025117450677
2023-02-02,-0.019337017361320333,-0.15388173179455775,0.0,-0.034286248040551366
2023-02-03,-0.016343204108917837,-0.28488022226084253,0.0,-0.02897795142784392
2023-02-06,-0.013236925874460296,-0.23073433826289272,0.0,-0.023470244420112026
2023-02-07,-0.010864830693451528,-0.18938608134300794,0.0,-0.01926430912863593
2023-02-08,-0.009010100972005544,-0.15705607972533198,0.0,-0.015975708715788305
2023-02-09,-0.007532939001570641,-0.2788581004357925,0.0,-0.01335656943654723
2023-02-10,-0.006339131692506309,-0.3772956079625684,0.0,-0.011239843121087788
2023-02-12,-0.005242793521402657,-0.4849908929669112,0.0,-0.009295938238115824
2023-02-13,-0.004373861524897495,-0.5454869035044334,0.0,-0.15691976807663016
2023-02-14,-0.0036743301324269595,-0.45824472379417386,0.0,-0.13182288212266272
2023-02-15,-0.0031040625959626996,-0.3871237084478362,0.0,-0.11136355823821485
2023-02-16,-0.0026343979647494593,-0.3285494019894107,0.0,-0.0945135357616791
2023-02-17,-0.0022443224895938637,-0.27990107102044315,0.0,-0.08051891047567811
2023-02-18,-0.0019180803483071047,-0.23921372542658817,0.0,-0.06881441529307372
2023-02-22,-0.0015306777256704357,-0.1908987397260462,0.0,-0.054915683165780535
