ticker,alvo_retorno,horizonte,n_treino,n_teste,IC_treino,p_treino,IC_teste,p_teste,hit_rate_teste,mesmo_sinal_treino_teste,sig_teste_p<0.05
ISUS11,ISUS11,1,498,399,-0.051,0.256,-0.036,0.473,0.479,True,False
ISUS11,ISUS11,3,498,399,-0.089,0.047,-0.035,0.49,0.506,True,False
ISUS11,ISUS11,5,498,399,-0.153,0.001,-0.037,0.457,0.461,True,False
ISUS11,ISUS11,10,498,394,-0.224,0.0,-0.024,0.633,0.477,True,False
GOVE11,GOVE11,1,494,395,-0.002,0.961,0.009,0.855,0.481,False,False
GOVE11,GOVE11,3,494,395,0.074,0.099,-0.036,0.479,0.43,False,False
GOVE11,GOVE11,5,494,395,0.131,0.004,-0.104,0.038,0.435,False,True
GOVE11,GOVE11,10,494,390,0.213,0.0,-0.144,0.004,0.379,False,True
REVE11,REVE11,1,498,399,0.007,0.872,0.036,0.467,0.434,True,False
REVE11,REVE11,3,498,399,0.03,0.505,0.135,0.007,0.484,True,True
REVE11,REVE11,5,498,399,0.023,0.606,0.187,0.0,0.486,True,True
REVE11,REVE11,10,498,394,0.015,0.73,0.237,0.0,0.495,True,True
BOVA11,BOVA11,1,498,397,-0.015,0.743,0.008,0.867,0.466,False,False
BOVA11,BOVA11,3,498,397,0.035,0.436,0.055,0.277,0.418,True,False
BOVA11,BOVA11,5,498,397,0.079,0.077,0.075,0.138,0.428,True,False
BOVA11,BOVA11,10,498,392,0.052,0.246,-0.008,0.875,0.367,False,False
