data,selic_meta,ipca_mensal,dolar_venda,cdi_diario
2020-08-01,,0.24,,
2020-08-17,2.0,,5.4497,0.007469
2020-08-18,2.0,,5.4659,0.007469
2020-08-19,2.0,,5.4906,0.007469
2020-08-20,2.0,,5.651,0.007469
2020-08-21,2.0,,5.6064,0.007469
2020-08-22,2.0,,,
2020-08-23,2.0,,,
2020-08-24,2.0,,5.5954,0.007469
2020-08-25,2.0,,5.5997,0.007469
2020-08-26,2.0,,5.568,0.007469
2020-08-27,2.0,,5.5956,0.007469
2020-08-28,2.0,,5.4679,0.007469
2020-08-29,2.0,,,
2020-08-30,2.0,,,
2020-08-31,2.0,,5.4713,0.007469
2020-09-01,2.0,0.64,5.3732,0.007469
2020-09-02,2.0,,5.3741,0.007469
2020-09-03,2.0,,5.3079,0.007469
2020-09-04,2.0,,5.2848,0.007469
2020-09-05,2.0,,,
2020-09-06,2.0,,,
2020-09-07,2.0,,,
2020-09-08,2.0,,5.3698,0.007469
2020-09-09,2.0,,5.3024,0.007469
2020-09-10,2.0,,5.2936,0.007469
2020-09-11,2.0,,5.2854,0.007469
2020-09-12,2.0,,,
2020-09-13,2.0,,,
2020-09-14,2.0,,5.2984,0.007469
2020-09-15,2.0,,5.2728,0.007469
2020-09-16,2.0,,5.2532,0.007469
2020-09-17,2.0,,5.2593,0.007469
2020-09-18,2.0,,5.2889,0.007469
2020-09-19,2.0,,,
2020-09-20,2.0,,,
2020-09-21,2.0,,5.444,0.007469
2020-09-22,2.0,,5.4329,0.007469
2020-09-23,2.0,,5.5311,0.007469
2020-09-24,2.0,,5.5714,0.007469
2020-09-25,2.0,,5.5667,0.007469
2020-09-26,2.0,,,
2020-09-27,2.0,,,
2020-09-28,2.0,,5.5858,0.007469
2020-09-29,2.0,,5.6528,0.007469
2020-09-30,2.0,,5.6407,0.007469
2020-10-01,2.0,0.86,5.6441,0.007469
2020-10-02,2.0,,5.6464,0.007469
2020-10-03,2.0,,,
2020-10-04,2.0,,,
2020-10-05,2.0,,5.6299,0.007469
2020-10-06,2.0,,5.5205,0.007469
2020-10-07,2.0,,5.6018,0.007469
2020-10-08,2.0,,5.62,0.007469
2020-10-09,2.0,,5.5393,0.007469
2020-10-10,2.0,,,
2020-10-11,2.0,,,
2020-10-12,2.0,,,
2020-10-13,2.0,,5.5859,0.007469
2020-10-14,2.0,,5.5675,0.007469
2020-10-15,2.0,,5.6172,0.007469
2020-10-16,2.0,,5.6226,0.007469
2020-10-17,2.0,,,
2020-10-18,2.0,,,
2020-10-19,2.0,,5.6023,0.007469
2020-10-20,2.0,,5.583,0.007469
2020-10-21,2.0,,5.6006,0.007469
2020-10-22,2.0,,5.582,0.007469
2020-10-23,2.0,,5.612,0.007469
2020-10-24,2.0,,,
2020-10-25,2.0,,,
2020-10-26,2.0,,5.6328,0.007469
2020-10-27,2.0,,5.6491,0.007469
2020-10-28,2.0,,5.7325,0.007469
2020-10-29,2.0,,5.7803,0.007469
2020-10-30,2.0,,5.7718,0.007469
2020-10-31,2.0,,,
2020-11-01,2.0,0.89,,
2020-11-02,2.0,,,
2020-11-03,2.0,,5.6895,0.007469
2020-11-04,2.0,,5.6932,0.007469
2020-11-05,2.0,,5.5624,0.007469
2020-11-06,2.0,,5.5313,0.007469
2020-11-07,2.0,,,
2020-11-08,2.0,,,
2020-11-09,2.0,,5.2821,0.007469
2020-11-10,2.0,,5.3696,0.007469
2020-11-11,2.0,,5.402,0.007469
2020-11-12,2.0,,5.4094,0.007469
2020-11-13,2.0,,5.4854,0.007469
2020-11-14,2.0,,,
2020-11-15,2.0,,,
2020-11-16,2.0,,5.4198,0.007469
2020-11-17,2.0,,5.3968,0.007469
2020-11-18,2.0,,5.2932,0.007469
2020-11-19,2.0,,5.333,0.007469
2020-11-20,2.0,,5.3505,0.007469
2020-11-21,2.0,,,
2020-11-22,2.0,,,
2020-11-23,2.0,,5.3828,0.007469
2020-11-24,2.0,,5.4037,0.007469
2020-11-25,2.0,,5.3508,0.007469
2020-11-26,2.0,,5.3201,0.007469
2020-11-27,2.0,,5.3494,0.007469
2020-11-28,2.0,,,
2020-11-29,2.0,,,
2020-11-30,2.0,,5.3317,0.007469
2020-12-01,2.0,1.35,5.2789,0.007469
2020-12-02,2.0,,5.2267,0.007469
2020-12-03,2.0,,5.1625,0.007469
2020-12-04,2.0,,5.1706,0.007469
2020-12-05,2.0,,,
2020-12-06,2.0,,,
2020-12-07,2.0,,5.1018,0.007469
2020-12-08,2.0,,5.092,0.007469
2020-12-09,2.0,,5.1109,0.007469
2020-12-10,2.0,,5.0852,0.007469
2020-12-11,2.0,,5.0691,0.007469
2020-12-12,2.0,,,
2020-12-13,2.0,,,
2020-12-14,2.0,,5.0578,0.007469
2020-12-15,2.0,,5.0968,0.007469
2020-12-16,2.0,,5.1057,0.007469
2020-12-17,2.0,,5.0612,0.007469
2020-12-18,2.0,,5.0986,0.007469
2020-12-19,2.0,,,
2020-12-20,2.0,,,
2020-12-21,2.0,,5.1572,0.007469
2020-12-22,2.0,,5.1473,0.007469
2020-12-23,2.0,,5.174,0.007469
2020-12-24,2.0,,5.18,0.007469
2020-12-25,2.0,,,
2020-12-26,2.0,,,
2020-12-27,2.0,,,
2020-12-28,2.0,,5.239,0.007469
2020-12-29,2.0,,5.1942,0.007469
2020-12-30,2.0,,5.1967,0.007469
2020-12-31,2.0,,5.1967,0.007469
2021-01-01,2.0,0.25,,
2021-01-02,2.0,,,
2021-01-03,2.0,,,
2021-01-04,2.0,,5.1626,0.007469
2021-01-05,2.0,,5.3269,0.007469
2021-01-06,2.0,,5.3182,0.007469
2021-01-07,2.0,,5.3433,0.007469
2021-01-08,2.0,,5.3683,0.007469
2021-01-09,2.0,,,
2021-01-10,2.0,,,
2021-01-11,2.0,,5.4966,0.007469
2021-01-12,2.0,,5.4637,0.007469
2021-01-13,2.0,,5.307,0.007469
2021-01-14,2.0,,5.2617,0.007469
2021-01-15,2.0,,5.2714,0.007469
2021-01-16,2.0,,,
2021-01-17,2.0,,,
2021-01-18,2.0,,5.2788,0.007469
2021-01-19,2.0,,5.2945,0.007469
2021-01-20,2.0,,5.3033,0.007469
2021-01-21,2.0,,5.3166,0.007469
2021-01-22,2.0,,5.4301,0.007469
2021-01-23,2.0,,,
2021-01-24,2.0,,,
2021-01-25,2.0,,5.5089,0.007469
2021-01-26,2.0,,5.3865,0.007469
2021-01-27,2.0,,5.3824,0.007469
2021-01-28,2.0,,5.4282,0.007469
2021-01-29,2.0,,5.4759,0.007469
2021-01-30,2.0,,,
2021-01-31,2.0,,,
2021-02-01,2.0,0.86,5.4608,0.007469
2021-02-02,2.0,,5.3875,0.007469
2021-02-03,2.0,,5.3423,0.007469
2021-02-04,2.0,,5.391,0.007469
2021-02-05,2.0,,5.3884,0.007469
2021-02-06,2.0,,,
2021-02-07,2.0,,,
2021-02-08,2.0,,5.367,0.007469
2021-02-09,2.0,,5.4216,0.007469
2021-02-10,2.0,,5.4024,0.007469
2021-02-11,2.0,,5.3626,0.007469
2021-02-12,2.0,,5.3815,0.007469
2021-02-13,2.0,,,
2021-02-14,2.0,,,
2021-02-15,2.0,,,
2021-02-16,2.0,,,
2021-02-17,2.0,,5.4138,0.007469
2021-02-18,2.0,,5.4238,0.007469
2021-02-19,2.0,,5.3924,0.007469
2021-02-20,2.0,,,
2021-02-21,2.0,,,
2021-02-22,2.0,,5.5044,0.007469
2021-02-23,2.0,,5.449,0.007469
2021-02-24,2.0,,5.4182,0.007469
2021-02-25,2.0,,5.46,0.007469
2021-02-26,2.0,,5.5302,0.007469
2021-02-27,2.0,,,
2021-02-28,2.0,,,
2021-03-01,2.0,0.93,5.5832,0.007469
2021-03-02,2.0,,5.6844,0.007469
2021-03-03,2.0,,5.7342,0.007469
2021-03-04,2.0,,5.6008,0.007469
2021-03-05,2.0,,5.687,0.007469
2021-03-06,2.0,,,
2021-03-07,2.0,,,
2021-03-08,2.0,,5.7343,0.007469
2021-03-09,2.0,,5.8397,0.007469
2021-03-10,2.0,,5.7449,0.007469
2021-03-11,2.0,,5.589,0.007469
2021-03-12,2.0,,5.564,0.007469
2021-03-13,2.0,,,
2021-03-14,2.0,,,
2021-03-15,2.0,,5.6296,0.007469
2021-03-16,2.0,,5.5851,0.007469
2021-03-17,2.0,,5.6579,0.007469
2021-03-18,2.75,,5.5474,0.010379
2021-03-19,2.75,,5.5082,0.010379
2021-03-20,2.75,,,
2021-03-21,2.75,,,
2021-03-22,2.75,,5.5269,0.010379
2021-03-23,2.75,,5.4951,0.010379
2021-03-24,2.75,,5.533,0.010379
2021-03-25,2.75,,5.6585,0.010379
2021-03-26,2.75,,5.7042,0.010379
2021-03-27,2.75,,,
2021-03-28,2.75,,,
2021-03-29,2.75,,5.7925,0.010379
2021-03-30,2.75,,5.7642,0.010379
2021-03-31,2.75,,5.6973,0.010379
2021-04-01,2.75,0.31,5.6849,0.010379
2021-04-02,2.75,,,
2021-04-03,2.75,,,
2021-04-04,2.75,,,
2021-04-05,2.75,,5.6579,0.010379
2021-04-06,2.75,,5.6263,0.010379
2021-04-07,2.75,,5.5864,0.010379
2021-04-08,2.75,,5.5817,0.010379
2021-04-09,2.75,,5.6445,0.010379
2021-04-10,2.75,,,
2021-04-11,2.75,,,
2021-04-12,2.75,,5.6582,0.010379
2021-04-13,2.75,,5.7064,0.010379
2021-04-14,2.75,,5.6936,0.010379
2021-04-15,2.75,,5.6234,0.010379
2021-04-16,2.75,,5.6328,0.010379
2021-04-17,2.75,,,
2021-04-18,2.75,,,
2021-04-19,2.75,,5.575,0.010379
2021-04-20,2.75,,5.5266,0.010379
2021-04-21,2.75,,,
2021-04-22,2.75,,5.497,0.010379
2021-04-23,2.75,,5.4787,0.010379
2021-04-24,2.75,,,
2021-04-25,2.75,,,
2021-04-26,2.75,,5.4566,0.010379
2021-04-27,2.75,,5.4424,0.010379
2021-04-28,2.75,,5.4005,0.010379
2021-04-29,2.75,,5.3662,0.010379
2021-04-30,2.75,,5.4036,0.010379
2021-05-01,2.75,0.83,,
2021-05-02,2.75,,,
2021-05-03,2.75,,5.4087,0.010379
2021-05-04,2.75,,5.4505,0.010379
2021-05-05,2.75,,5.3872,0.010379
2021-05-06,3.5,,5.2897,0.013269
2021-05-07,3.5,,5.2217,0.013269
2021-05-08,3.5,,,
2021-05-09,3.5,,,
2021-05-10,3.5,,5.2227,0.013269
2021-05-11,3.5,,5.2403,0.013269
2021-05-12,3.5,,5.2353,0.013269
2021-05-13,3.5,,5.2815,0.013269
2021-05-14,3.5,,5.2701,0.013269
2021-05-15,3.5,,,
2021-05-16,3.5,,,
2021-05-17,3.5,,5.2755,0.013269
2021-05-18,3.5,,5.2588,0.013269
2021-05-19,3.5,,5.2822,0.013269
2021-05-20,3.5,,5.2905,0.013269
2021-05-21,3.5,,5.3027,0.013269
2021-05-22,3.5,,,
2021-05-23,3.5,,,
2021-05-24,3.5,,5.3198,0.013269
2021-05-25,3.5,,5.3143,0.013269
2021-05-26,3.5,,5.3164,0.013269
2021-05-27,3.5,,5.284,0.013269
2021-05-28,3.5,,5.2281,0.013269
2021-05-29,3.5,,,
2021-05-30,3.5,,,
2021-05-31,3.5,,5.2322,0.013269
2021-06-01,3.5,0.53,5.1636,0.013269
2021-06-02,3.5,,5.1147,0.013269
2021-06-03,3.5,,,
2021-06-04,3.5,,5.0666,0.013269
2021-06-05,3.5,,,
2021-06-06,3.5,,,
2021-06-07,3.5,,5.0498,0.013269
2021-06-08,3.5,,5.0489,0.013269
2021-06-09,3.5,,5.0533,0.013269
2021-06-10,3.5,,5.0635,0.013269
2021-06-11,3.5,,5.119,0.013269
2021-06-12,3.5,,,
2021-06-13,3.5,,,
2021-06-14,3.5,,5.0707,0.013269
2021-06-15,3.5,,5.0874,0.013269
2021-06-16,3.5,,5.0207,0.013269
2021-06-17,4.25,,5.0359,0.016137
2021-06-18,4.25,,5.0314,0.016137
2021-06-19,4.25,,,
2021-06-20,4.25,,,
2021-06-21,4.25,,5.0373,0.016137
2021-06-22,4.25,,5.0178,0.016137
2021-06-23,4.25,,4.9519,0.016137
2021-06-24,4.25,,4.9277,0.016137
2021-06-25,4.25,,4.9206,0.016137
2021-06-26,4.25,,,
2021-06-27,4.25,,,
2021-06-28,4.25,,4.942,0.016137
2021-06-29,4.25,,4.945,0.016137
2021-06-30,4.25,,5.0022,0.016137
2021-07-01,4.25,0.96,5.0055,0.016137
2021-07-02,4.25,,5.0293,0.016137
2021-07-03,4.25,,,
2021-07-04,4.25,,,
2021-07-05,4.25,,5.0749,0.016137
2021-07-06,4.25,,5.1645,0.016137
2021-07-07,4.25,,5.2328,0.016137
2021-07-08,4.25,,5.2587,0.016137
2021-07-09,4.25,,5.2393,0.016137
2021-07-10,4.25,,,
