CNPJ_Companhia,Nome_Companhia,Codigo_CVM,Data_Referencia,Categoria,Tipo,Especie,Assunto,Data_Entrega,Tipo_Apresentacao,Protocolo_Entrega,Versao,Link_Download
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-01-16,Fato Relevante,,,Nomeação Presidenta - Sra. Tarciana Medeiros,2023-01-16,AP - Apresentação,001023IPE160120230104494204-50,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1049910&numSequencia=574640&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-01-18,Fato Relevante,,,Indicação de Vice-Presidentes,2023-01-18,AP - Apresentação,001023IPE180120230104494411-87,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1050594&numSequencia=575324&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-01-19,Fato Relevante,,,Indicação de Vice-Presidentes,2023-01-19,AP - Apresentação,001023IPE190120230104494511-81,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1050836&numSequencia=575566&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-01-19,Fato Relevante,,,Payout 2023 e datas de pagamento,2023-01-19,AP - Apresentação,001023IPE190120230104494512-61,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1050868&numSequencia=575598&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-01-20,Fato Relevante,,,Indicação de Vice-Presidente,2023-01-20,AP - Apresentação,001023IPE200120230104494611-75,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1051176&numSequencia=575906&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-01-25,Fato Relevante,,,Indicação de Vice-Presidente,2023-01-25,AP - Apresentação,001023IPE250120230104495111-91,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1052220&numSequencia=576950&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-02-13,Fato Relevante,,,Remuneração Complementar aos Acionistas 4T22,2023-02-13,AP - Apresentação,001023IPE130220230104497011-80,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1059869&numSequencia=584599&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-02-13,Fato Relevante,,,Projeção 4T22,2023-02-13,AP - Apresentação,001023IPE130220230104497011-83,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1059871&numSequencia=584601&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-02-24,Fato Relevante,,,Pagamento JCP 1T23,2023-02-24,AP - Apresentação,001023IPE240220230104498106-03,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1064941&numSequencia=589671&numVersao=1
00.000.000/0001-91,BANCO DO BRASIL S.A.,1023,2023-04-26,Fato Relevante,,,Exercício das funções de Diretor de Relações com Investidores (DRI),2023-04-26,AP - Apresentação,001023IPE260420230104504213-02,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1090817&numSequencia=615546&numVersao=1
