data,selic_meta,dolar_venda
2023-07-30,13.75,
2023-07-31,13.75,4.7415
2023-08-01,13.75,4.7752
2023-08-02,13.75,4.8083
2023-08-03,13.25,4.8797
2023-08-04,13.25,4.8609
2023-08-05,13.25,
2023-08-06,13.25,
2023-08-07,13.25,4.901
2023-08-08,13.25,4.9217
2023-08-09,13.25,4.9015
2023-08-10,13.25,4.8518
2023-08-11,13.25,4.8918
2023-08-12,13.25,
2023-08-13,13.25,
2023-08-14,13.25,4.9481
2023-08-15,13.25,4.9812
2023-08-16,13.25,4.9772
2023-08-17,13.25,4.9816
2023-08-18,13.25,4.9724
2023-08-19,13.25,
2023-08-20,13.25,
2023-08-21,13.25,4.9847
2023-08-22,13.25,4.9431
2023-08-23,13.25,4.8977
2023-08-24,13.25,4.8748
2023-08-25,13.25,4.8772
2023-08-26,13.25,
2023-08-27,13.25,
2023-08-28,13.25,4.8938
2023-08-29,13.25,4.8706
2023-08-30,13.25,4.8653
2023-08-31,13.25,4.9219
2023-09-01,13.25,4.9318
2023-09-02,13.25,
2023-09-03,13.25,
2023-09-04,13.25,4.9176
2023-09-05,13.25,4.9705
2023-09-06,13.25,4.9762
2023-09-07,13.25,
2023-09-08,13.25,4.9835
2023-09-09,13.25,
2023-09-10,13.25,
2023-09-11,13.25,4.9366
2023-09-12,13.25,4.9505
2023-09-13,13.25,4.9171
2023-09-14,13.25,4.8751
2023-09-15,13.25,4.8689
2023-09-16,13.25,
2023-09-17,13.25,
2023-09-18,13.25,4.8535
2023-09-19,13.25,4.8575
2023-09-20,13.25,4.8487
2023-09-21,12.75,4.9229
2023-09-22,12.75,4.9131
2023-09-23,12.75,
2023-09-24,12.75,
2023-09-25,12.75,4.9606
2023-09-26,12.75,4.9717
2023-09-27,12.75,5.0289
2023-09-28,12.75,5.0475
2023-09-29,12.75,5.0076
2023-09-30,12.75,
2023-10-01,12.75,
2023-10-02,12.75,5.0679
2023-10-03,12.75,5.11
2023-10-04,12.75,5.1526
2023-10-05,12.75,5.1713
2023-10-06,12.75,5.1918
2023-10-07,12.75,
2023-10-08,12.75,
2023-10-09,12.75,5.1666
2023-10-10,12.75,5.0862
2023-10-11,12.75,5.0496
2023-10-12,12.75,
2023-10-13,12.75,5.0625
2023-10-14,12.75,
2023-10-15,12.75,
2023-10-16,12.75,5.0618
2023-10-17,12.75,5.0384
2023-10-18,12.75,5.0568
2023-10-19,12.75,5.054
2023-10-20,12.75,5.0528
2023-10-21,12.75,
2023-10-22,12.75,
2023-10-23,12.75,5.0164
2023-10-24,12.75,5.0065
2023-10-25,12.75,4.9981
2023-10-26,12.75,5.0055
2023-10-27,12.75,4.948
2023-10-28,12.75,
2023-10-29,12.75,
2023-10-30,12.75,5.0074
2023-10-31,12.75,5.0575
2023-11-01,12.75,5.0194
2023-11-02,12.25,
2023-11-03,12.25,4.891
2023-11-04,12.25,
2023-11-05,12.25,
2023-11-06,12.25,4.8999
2023-11-07,12.25,4.867
2023-11-08,12.25,4.8855
2023-11-09,12.25,4.9007
2023-11-10,12.25,4.9219
2023-11-11,12.25,
2023-11-12,12.25,
2023-11-13,12.25,4.9247
2023-11-14,12.25,4.8682
2023-11-15,12.25,
2023-11-16,12.25,4.8575
