config,descricao,cagr,sharpe_excedente_cdi,sortino,calmar,max_drawdown,exposicao_media,custo_acumulado
A0_baseline,"sem sentimento, sem risk-off",27.25%,0.75,1.23,3.14,-8.67%,100.0%,
A1_sentimento_bruto,sentimento sem EMA,27.25%,0.75,1.23,3.14,-8.67%,100.0%,
A2_sentimento_ema,sentimento com EMA,27.25%,0.75,1.23,3.14,-8.67%,100.0%,
A3_so_circuit_breaker,só risk-off,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A4_completo,sentimento + risk-off,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A5_sem_relevancia,sem gate de relevância,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A6_com_relevancia,com gate de relevância,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A7_tilt_multiplicativo,tilt multiplicativo,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A8_alpha_aditivo,tilt aditivo,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A9_sem_custos,sem custo de transação,33.19%,1.19,2.06,4.68,-7.09%,83.3%,
A10_com_custos,com custo (10 bps),30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A11_cov_amostral,covariância amostral,30.05%,1.01,1.75,4.0,-7.51%,83.3%,
A12_cov_ledoit_wolf,covariância Ledoit-Wolf,30.20%,1.02,1.76,4.04,-7.48%,83.3%,
